i: 56000000 	 x: 0.560000 	 y: 2.308855 	 
i: 56000000 	 x: 0.560000 	 y: 2.337261 	 
i: 58000000 	 x: 0.580000 	 y: 2.385555 	 
i: 57000000 	 x: 0.570000 	 y: 2.389892 	 
i: 57000000 	 x: 0.570000 	 y: 2.455974 	 
i: 57000000 	 x: 0.570000 	 y: 2.485296 	 
i: 59000000 	 x: 0.590000 	 y: 2.437781 	 
i: 58000000 	 x: 0.580000 	 y: 2.433244 	 
i: 58000000 	 x: 0.580000 	 y: 2.451716 	 
i: 58000000 	 x: 0.580000 	 y: 2.539297 	 
i: 60000000 	 x: 0.600000 	 y: 2.450257 	 
i: 59000000 	 x: 0.590000 	 y: 2.553337 	 
i: 59000000 	 x: 0.590000 	 y: 2.495008 	 
i: 59000000 	 x: 0.590000 	 y: 2.495008 	 
i: 61000000 	 x: 0.610000 	 y: 2.539650 	 
i: 60000000 	 x: 0.600000 	 y: 2.547429 	 
i: 60000000 	 x: 0.600000 	 y: 2.615318 	 
i: 60000000 	 x: 0.600000 	 y: 2.547429 	 
i: 62000000 	 x: 0.620000 	 y: 2.582788 	 
i: 61000000 	 x: 0.610000 	 y: 2.592038 	 
i: 61000000 	 x: 0.610000 	 y: 2.669112 	 
i: 61000000 	 x: 0.610000 	 y: 2.639607 	 
i: 63000000 	 x: 0.630000 	 y: 2.703736 	 
i: 62000000 	 x: 0.620000 	 y: 2.611846 	 
i: 62000000 	 x: 0.620000 	 y: 2.651827 	 
i: 64000000 	 x: 0.640000 	 y: 2.680537 	 
i: 62000000 	 x: 0.620000 	 y: 2.760398 	 
i: 63000000 	 x: 0.630000 	 y: 2.703736 	 
i: 63000000 	 x: 0.630000 	 y: 2.711730 	 
i: 65000000 	 x: 0.650000 	 y: 2.729820 	 
i: 63000000 	 x: 0.630000 	 y: 2.748775 	 
i: 64000000 	 x: 0.640000 	 y: 2.710244 	 
i: 64000000 	 x: 0.640000 	 y: 2.755403 	 
i: 66000000 	 x: 0.660000 	 y: 2.742463 	 
i: 64000000 	 x: 0.640000 	 y: 2.792030 	 
i: 65000000 	 x: 0.650000 	 y: 2.760664 	 
i: 65000000 	 x: 0.650000 	 y: 2.886158 	 
i: 67000000 	 x: 0.670000 	 y: 2.838288 	 
i: 65000000 	 x: 0.650000 	 y: 2.924162 	 
i: 66000000 	 x: 0.660000 	 y: 2.811407 	 
i: 66000000 	 x: 0.660000 	 y: 2.866873 	 
i: 68000000 	 x: 0.680000 	 y: 2.840512 	 
i: 66000000 	 x: 0.660000 	 y: 2.895789 	 
i: 67000000 	 x: 0.670000 	 y: 2.981400 	 
i: 67000000 	 x: 0.670000 	 y: 2.916847 	 
i: 69000000 	 x: 0.690000 	 y: 2.935701 	 
i: 67000000 	 x: 0.670000 	 y: 2.908588 	 
i: 68000000 	 x: 0.680000 	 y: 2.911849 	 
i: 68000000 	 x: 0.680000 	 y: 3.040803 	 
i: 70000000 	 x: 0.700000 	 y: 2.974979 	 
i: 68000000 	 x: 0.680000 	 y: 3.005963 	 
i: 69000000 	 x: 0.690000 	 y: 3.083227 	 
i: 69000000 	 x: 0.690000 	 y: 2.970776 	 
i: 71000000 	 x: 0.710000 	 y: 3.107163 	 
i: 69000000 	 x: 0.690000 	 y: 3.008817 	 
i: 70000000 	 x: 0.700000 	 y: 3.132997 	 
i: 70000000 	 x: 0.700000 	 y: 3.142276 	 
i: 72000000 	 x: 0.720000 	 y: 3.032644 	 
i: 70000000 	 x: 0.700000 	 y: 3.097285 	 
i: 71000000 	 x: 0.710000 	 y: 3.097890 	 
i: 71000000 	 x: 0.710000 	 y: 3.068030 	 
i: 73000000 	 x: 0.730000 	 y: 3.079710 	 
i: 72000000 	 x: 0.720000 	 y: 3.230640 	 
i: 71000000 	 x: 0.710000 	 y: 3.155981 	 
i: 72000000 	 x: 0.720000 	 y: 3.241005 	 
i: 74000000 	 x: 0.740000 	 y: 3.164970 	 
i: 73000000 	 x: 0.730000 	 y: 3.193222 	 
i: 72000000 	 x: 0.720000 	 y: 3.207605 	 
i: 73000000 	 x: 0.730000 	 y: 3.288854 	 
i: 75000000 	 x: 0.750000 	 y: 3.296886 	 
i: 74000000 	 x: 0.740000 	 y: 3.241911 	 
i: 73000000 	 x: 0.730000 	 y: 3.254219 	 
i: 74000000 	 x: 0.740000 	 y: 3.335838 	 
i: 76000000 	 x: 0.760000 	 y: 3.214742 	 
i: 75000000 	 x: 0.750000 	 y: 3.296886 	 
i: 74000000 	 x: 0.740000 	 y: 3.250433 	 
i: 75000000 	 x: 0.750000 	 y: 3.304328 	 
i: 77000000 	 x: 0.770000 	 y: 3.259628 	 
i: 76000000 	 x: 0.760000 	 y: 3.291921 	 
i: 75000000 	 x: 0.750000 	 y: 3.347613 	 
i: 76000000 	 x: 0.760000 	 y: 3.342615 	 
i: 78000000 	 x: 0.780000 	 y: 3.346663 	 
i: 77000000 	 x: 0.770000 	 y: 3.380400 	 
i: 76000000 	 x: 0.760000 	 y: 3.393492 	 
i: 77000000 	 x: 0.770000 	 y: 3.343870 	 
i: 79000000 	 x: 0.790000 	 y: 3.475008 	 
i: 78000000 	 x: 0.780000 	 y: 3.508774 	 
i: 77000000 	 x: 0.770000 	 y: 3.438582 	 
i: 78000000 	 x: 0.780000 	 y: 3.438985 	 
i: 80000000 	 x: 0.800000 	 y: 3.389470 	 
i: 79000000 	 x: 0.790000 	 y: 3.551328 	 
i: 79000000 	 x: 0.790000 	 y: 3.431304 	 
i: 81000000 	 x: 0.810000 	 y: 3.475335 	 
i: 78000000 	 x: 0.780000 	 y: 3.475424 	 
i: 80000000 	 x: 0.800000 	 y: 3.593637 	 
i: 82000000 	 x: 0.820000 	 y: 3.472076 	 
i: 80000000 	 x: 0.800000 	 y: 3.472859 	 
i: 79000000 	 x: 0.790000 	 y: 3.602108 	 
i: 81000000 	 x: 0.810000 	 y: 3.554565 	 
i: 83000000 	 x: 0.830000 	 y: 3.561307 	 
i: 81000000 	 x: 0.810000 	 y: 3.514492 	 
i: 80000000 	 x: 0.800000 	 y: 3.565047 	 
i: 82000000 	 x: 0.820000 	 y: 3.546216 	 
i: 82000000 	 x: 0.820000 	 y: 3.603160 	 
i: 84000000 	 x: 0.840000 	 y: 3.605801 	 
i: 81000000 	 x: 0.810000 	 y: 3.613369 	 
i: 83000000 	 x: 0.830000 	 y: 3.705439 	 
i: 83000000 	 x: 0.830000 	 y: 3.642052 	 
i: 85000000 	 x: 0.850000 	 y: 3.588625 	 
i: 82000000 	 x: 0.820000 	 y: 3.657382 	 
i: 84000000 	 x: 0.840000 	 y: 3.742253 	 
i: 84000000 	 x: 0.840000 	 y: 3.744942 	 
i: 86000000 	 x: 0.860000 	 y: 3.682586 	 
i: 83000000 	 x: 0.830000 	 y: 3.759524 	 
i: 85000000 	 x: 0.850000 	 y: 3.656847 	 
i: 85000000 	 x: 0.850000 	 y: 3.659882 	 
i: 87000000 	 x: 0.870000 	 y: 3.724589 	 
i: 84000000 	 x: 0.840000 	 y: 3.676908 	 
i: 86000000 	 x: 0.860000 	 y: 3.695066 	 
i: 86000000 	 x: 0.860000 	 y: 3.810605 	 
i: 88000000 	 x: 0.880000 	 y: 3.818085 	 
i: 85000000 	 x: 0.850000 	 y: 3.714045 	 
i: 87000000 	 x: 0.870000 	 y: 3.732878 	 
i: 87000000 	 x: 0.870000 	 y: 3.843005 	 
i: 89000000 	 x: 0.890000 	 y: 3.794350 	 
i: 86000000 	 x: 0.860000 	 y: 3.856445 	 
i: 88000000 	 x: 0.880000 	 y: 3.818085 	 
i: 88000000 	 x: 0.880000 	 y: 3.873954 	 
i: 90000000 	 x: 0.900000 	 y: 3.880795 	 
i: 87000000 	 x: 0.870000 	 y: 3.784684 	 
i: 89000000 	 x: 0.890000 	 y: 3.802566 	 
i: 89000000 	 x: 0.890000 	 y: 3.850139 	 
i: 91000000 	 x: 0.910000 	 y: 3.857232 	 
i: 88000000 	 x: 0.880000 	 y: 3.916916 	 
i: 90000000 	 x: 0.900000 	 y: 3.880622 	 
i: 90000000 	 x: 0.900000 	 y: 3.880970 	 
i: 92000000 	 x: 0.920000 	 y: 3.887391 	 
